fase_codigo	fase_titulo	dia_titulo	clave	fecha_anio	fecha_prefijo	ministerio_cuando	hecho_id	nombre	descripcion	lugar_antiguo	lat	lon	tipo_suceso	personajes	referencia	libro	capitulo_inicio	capitulo_fin	etiqueta_jw
J0	Antes del ministerio de Jesús		juan_predicho_zacarias	-3				Nacimiento de Juan predicho a Zacarías	Gabriel anuncia a Zacarías el nacimiento de Juan.	Jerusalén, templo	31.78	35.21	profecía	Zacarías, Gabriel	Luc. 1:5-25	LUCAS	1	1	Juan predicho a Zacarías
J0	Antes del ministerio de Jesús		jesus_predicho_maria	-2	c	c. 2 a.E.C.		Nacimiento de Jesús predicho a María	Gabriel anuncia a María; ella visita a Elisabet.	Nazaret; Judea	32.7	35.3	profecía	María, Gabriel, Elisabet	Luc. 1:26-56	LUCAS	1	1	Jesús predicho a María
J0	Antes del ministerio de Jesús		nacimiento_juan_bautista	-2			108	Nace Juan el Bautizante	Nace Juan; más tarde vive en el desierto.	Colinas de Judea	31.7	35.2	nacimiento	Juan el Bautista, Zacarías, Elisabet	Luc. 1:57-80	LUCAS	1	1	Nace Juan el Bautizante
J0	Antes del ministerio de Jesús		nacimiento_jesus_belen	-2		c. 1 de oct.		Nace Jesús en Belén	La Palabra se hace carne; descendiente de Abrahán y David.	Belén	31.7	35.2	nacimiento	Jesús, María, José	Mt 1:1-25; Lu 2:1-7; Jn 1:1-14	LUCAS	2	2	Nace Jesús en Belén
J0	Antes del ministerio de Jesús		pastores_belen	-2				Pastores visitan al bebé Jesús		Cerca de Belén	31.7	35.2	anuncio	Jesús, pastores	Luc. 2:8-20	LUCAS	2	2	Pastores en Belén
J0	Antes del ministerio de Jesús		circuncision_presentacion	-2				Jesús circuncidado y presentado en el templo		Belén; Jerusalén	31.78	35.21	ley	Jesús, María, José, Simeón, Ana	Luc. 2:21-38	LUCAS	2	2	Circuncisión y presentación
J0	Antes del ministerio de Jesús		astrologos_huida_egipto	-1		1 a.E.C. ó 1 E.C.	109	Astrólogos, huida a Egipto y regreso		Jerusalén; Belén; Nazaret	31.78	35.21	viaje	Jesús, María, José	Mt 2:1-23; Lu 2:39, 40	MATEO	2	2	Astrólogos; huida a Egipto
J0	Antes del ministerio de Jesús		jesus_doce_anos_templo	12			110	Jesús de 12 años en el templo		Jerusalén	31.78	35.21	enseñanza	Jesús, María, José	Luc. 2:41-52	LUCAS	2	2	Jesús de 12 años en el templo
J0	Antes del ministerio de Jesús		ministerio_juan_primavera_29	29		primavera		Ministerio de Juan el Bautizante		Desierto, Jordán	31.8	35.5	ministerio	Juan el Bautista	Mt 3:1-12; Mr 1:1-8; Lu 3:1-18; Jn 1:6-28	MATEO	3	3	Ministerio de Juan el Bautizante
J1	El principio del ministerio de Jesús		bautismo_jesus	29		otoño	111	Bautismo y unción de Jesús		Río Jordán	31.8	35.5	bautismo	Jesús, Juan el Bautista	Mt 3:13-17; Mr 1:9-11; Lu 3:21-38; Jn 1:32-34	MATEO	3	3	Bautismo y unción de Jesús
J1	El principio del ministerio de Jesús		tentacion_jesus	29		otoño	112	Ayuno y tentación de Jesús		Desierto de Judea	31.7	35.3	tentación	Jesús, Satanás	Mt 4:1-11; Mr 1:12, 13; Lu 4:1-13	MATEO	4	4	Tentación de Jesús
J1	El principio del ministerio de Jesús		testimonio_juan_betania	29				Testimonio de Juan acerca de Jesús		Betania más allá del Jordán	31.85	35.54	testimonio	Juan el Bautista, Jesús	Jn 1:15, 29-34	JUAN	1	1	Testimonio de Juan
