clave	prefijo	anio	nombre	referencia	era	tipo	personajes	match_id
creacion_adan		-4026	Creación de Adán	Gén. 2:7	PREHISTORIA/GÉNESIS	creación	Adán	1
pacto_edenico_primera_profecia	d	-4026	Se hace el pacto edénico, primera profecía	Gén. 3:15	PREHISTORIA/GÉNESIS	profecía	Adán, Eva, Jehová	2
cain_mata_abel	a	-3896	Caín mata a Abel	Gén. 4:8	PREHISTORIA/GÉNESIS	homicidio	Caín, Abel	3
nacimiento_set		-3896	Nace Set	Gén. 5:3	PREHISTORIA/GÉNESIS	nacimiento	Set, Adán	266
nacimiento_enoc		-3404	Nace el justo Enoc	Gén. 5:18	PREHISTORIA/GÉNESIS	nacimiento	Enoc	
nacimiento_matusalem		-3339	Nace Matusalén	Gén. 5:21	PREHISTORIA/GÉNESIS	nacimiento	Matusalén	
nacimiento_lamec		-3152	Nace Lamec	Gén. 5:25	PREHISTORIA/GÉNESIS	nacimiento	Lamec	
muerte_adan		-3096	Muere Adán	Gén. 5:5	PREHISTORIA/GÉNESIS	muerte	Adán	269
enoc_transferido		-3039	Enoc transferido; termina su período de profetizar	Gén. 5:23, 24; Jud. 14	PREHISTORIA/GÉNESIS	traslado	Enoc	4
nacimiento_noe		-2970	Nace Noé	Gén. 5:28, 29	PREHISTORIA/GÉNESIS	nacimiento	Noé	
decreto_120_anos		-2490	Declaración formal de Dios acerca de la humanidad	Gén. 6:3	PREHISTORIA/GÉNESIS	decreto	Noé, Jehová	271
nacimiento_jafet		-2470	Nace Jafet	Gén. 5:32; Gé 9:24; Gé 10:21	PREHISTORIA/GÉNESIS	nacimiento	Jafet, Noé	
nacimiento_sem		-2468	Nace Sem	Gén. 7:11; Gé 11:10	PREHISTORIA/GÉNESIS	nacimiento	Sem, Noé	201
muerte_matusalem		-2370	Muere Matusalén	Gén. 5:27	PREHISTORIA/GÉNESIS	muerte	Matusalén	273
diluvio_cae_agua		-2370	Caen las aguas del Diluvio (en el otoño)	Gén. 7:6, 11	DILUVIO	juicio divino	Noé, Sem, Jafet	5
pacto_postdiluviano		-2369	Se hace el pacto postdiluviano	Gén. 8:13; Gé 9:16	POSTDILUVIANO	pacto	Noé, Jehová	274
nacimiento_arpaksad		-2368	Nace Arpaksad	Gén. 11:10	POSTDILUVIANO	nacimiento	Arpaksad, Sem	202
torre_babel	d	-2269	Se construye la Torre de Babel	Gén. 11:4	POSTDILUVIANO	dispersión	Nemrod	6
muerte_noe		-2020	Muere Noé	Gén. 9:28, 29	POSTDILUVIANO	muerte	Noé	
nacimiento_abrhan		-2018	Nace Abrahán	Gén. 11:26; Gé 11:32; Gé 12:4	PATRIARCAS	nacimiento	Abrahán	
