tipo,nombre_base,variantes,apariciones,problema,categoria,fuente
persona,JESUS,Jesus | JESUS | JESÚS | Jesús,1872,sin_tilde,DOCTRINA; EDAD; FECHA; LECCION; LUGAR; MEDIDA; MONEDA; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO; Siglo primero,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Pablo,PABLO | Pablo,1148,,FECHA; LECCION; LUGAR; MEDIDA; NOMBRE; NUMERO; OTRO; SUCESO; Siglo primero,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,DAVID,DAVID | David,177,,EDAD; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO; Un solo reino,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Saulo,Saulo | SAULO,141,,EDAD; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,JehovÃ¡,JehovÃ¡ | Jehová | JEHOVA | JEHOVÁ,139,mojibake,DOCTRINA; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,José,JOSE | JOSÉ | José,126,sin_tilde,Después del Diluvio; EDAD; LECCION; LUGAR; MONEDA; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Moisés,MOISES | Moisés,100,sin_tilde,DOCTRINA; Después del Diluvio; EDAD; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Esteban,ESTEBAN | Esteban,97,,DOCTRINA; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO; Siglo primero,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,ELIAS,Elías | ELIAS | Eliás,95,sin_tilde,LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; Profetas; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,JesÃºs,JesÃºs,92,mojibake,EDAD; FECHA; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,MARIA,MARIA | María | MARÍA,92,sin_tilde,DOCTRINA; EDAD; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Felipe,FELIPE | Felipe,81,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,JUAN EL BAUTISTA,JUAN EL BAUTISTA | Juan el Bautista,78,,DOCTRINA; EDAD; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO; Siglo primero,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,NABUCODONOSOR,Nabucodonosor | NABUCODONOSOR,71,,DOCTRINA; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Abrahán,Abrahán | ABRAHÁN | ABRAHAN,69,sin_tilde,DOCTRINA; Después del Diluvio; EDAD; FECHA; LECCION; LUGAR; MEDIDA; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Jacob,JACOB | Jacob,61,,DOCTRINA; Después del Diluvio; EDAD; FECHA; LECCION; LUGAR; MONEDA; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,1 CORINTIOS,1 CORINTIOS,60,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Bernabé,BERNABÉ | Bernabé | BERNABE,60,sin_tilde,DOCTRINA; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,SALOMÓN,SALOMON | Salomón | SALOMÓN,53,sin_tilde,EDAD; FECHA; LUGAR; MEDIDA; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO; Un solo reino,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,1 JUAN,1 JUAN,50,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,CALEB,CALEB | Caleb,50,,DOCTRINA; Después del Diluvio; EDAD; FECHA; LECCION; LUGAR; NOMBRE; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Noé,NOÉ | Noé | NOE,50,sin_tilde,Antes del Diluvio; DETALLE; DOCTRINA; EDAD; FECHA; LECCION; LUGAR; MEDIDA; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,EZEQUÍAS,EZEQUÍAS | EZEQUIAS | Ezequías,49,sin_tilde,EDAD; LECCION; LUGAR; MONEDA; NOMBRE; NUMERO; OTRO; PARENTESCO; Reyes de Judá; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Sansón,Sansón,48,,FECHA; LUGAR; MONEDA; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,ELISEO,Eliseo | ELISEO,47,,DOCTRINA; LECCION; LUGAR; NOMBRE; NUMERO; Profetas; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,JOSÍAS,JOSIAS | JOSÍAS | Josías,44,sin_tilde,DOCTRINA; EDAD; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; Reyes de Judá; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,2 TIMOTEO,2 TIMOTEO,43,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Pilato,Pilato,43,,NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Cornelio,CORNELIO | Cornelio,42,,FECHA; LUGAR; MEDIDA; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,JEHOIADA,JEHOIADA | Jehoiadá,41,sin_tilde,DOCTRINA; EDAD; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; Reino dividido; SUCESO,personajes_biblicos.csv; preguntas.personaje
persona,EL CANTAR DE LOS CANTARES,EL CANTAR DE LOS CANTARES,38,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Gedeón,Gedeón,38,,LECCION; LUGAR; NUMERO; OTRO; SUCESO; Época de los jueces,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,NAAMAN,Naamán | NAAMAN,38,sin_tilde,DOCTRINA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,RAHAB,Rahab | RAHAB,37,,DOCTRINA; Después del Diluvio; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,JONATÁN,JONATÁN | Jonatán,36,,DOCTRINA; EDAD; LECCION; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO; Un solo reino,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,2 CORINTIOS,2 CORINTIOS,35,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,AGEO,AGEO,35,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Lidia,LIDIA | Lidia,35,,FECHA; LUGAR; MEDIDA; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,MARIA MAGDALENA,MARIA MAGDALENA | María Magdalena | MARÍA MAGDALENA,35,sin_tilde,FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,2 PEDRO,2 PEDRO,33,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,JEZABEL,Jezabel | JEZABEL,33,,LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,SAÚL,SAUL | Saúl | SAÚL,33,sin_tilde,LUGAR; NOMBRE; NUMERO; OTRO; SUCESO; Un solo reino,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,SAMUEL,Samuel | SAMUEL,31,,DOCTRINA; EDAD; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO; Un solo reino,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Jefté,Jefté,30,,DOCTRINA; FECHA; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,JEROBOAN,Jeroboán | JEROBOAN,30,sin_tilde,LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,SEDEQUÍAS,Sedequías | SEDEQUÍAS | SEDEQUIAS,28,sin_tilde,LUGAR; NOMBRE; NUMERO; PARENTESCO; Reyes de Judá; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Abigaíl,Abigaíl,27,,FECHA; LECCION; NOMBRE; OTRO; SUCESO; Un solo reino,personajes_biblicos.csv; preguntas.personaje
persona,Caifás,Caifás,27,,LUGAR; NOMBRE; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,2 JUAN,2 JUAN,26,,EDAD; FECHA; LUGAR; NOMBRE; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Agripa,Agripa,26,,EDAD; FECHA; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,JEHOSAFAT,JEHOSAFAT | Jehosafat,26,,LUGAR; NOMBRE; NUMERO; PARENTESCO; Reyes de Judá; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Festo,FESTO | Festo,25,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Herodes Agripa I,Herodes Agripa I,25,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,ASÁ,ASA | Asá | ASÁ,24,sin_tilde,DOCTRINA; FECHA; LECCION; NOMBRE; NUMERO; OTRO; PARENTESCO; Reyes de Judá; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Gamaliel,Gamaliel,24,,LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Herodes,HERODES | Herodes,23,,EDAD; FECHA; LUGAR; NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,MEFIBOSET,MEFIBÓSET | Mefibóset | MEFIBOSET,23,sin_tilde,EDAD; LECCION; LUGAR; NOMBRE; OTRO; PARENTESCO; SUCESO; Un solo reino,personajes_biblicos.csv; preguntas.personaje
persona,Simón,Simón | SIMÓN,23,,FECHA; LUGAR; MONEDA; NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Ananías,Ananías,22,,NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,ELISABET,ELISABET,22,,DOCTRINA; EDAD; LECCION; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Félix,Félix,22,,NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Jael,Jael,22,,FECHA; LECCION; NOMBRE; OTRO; PARENTESCO; SUCESO; Época de los jueces,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
